"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-02","4.41","4.1","37.8","44.9","30.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-03","1.17","0.9","48.9","57.4","40.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-04","1.62","0.0","53.3","62.2","44.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-05","3.76","0.0","62.8","70.6","55.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-06","2.60","0.0","72.2","80.9","63.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-07","7.02","0.0","78.7","86.3","71.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-08","1.98","0.0","79.2","86.6","71.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-09","2.80","0.0","71.8","79.0","64.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-10","4.15","0.0","58.8","65.8","51.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-11","5.41","0.0","49.8","56.6","42.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2016-12","2.89","3.2","38.4","43.9","32.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-01","4.83","7.9","38.0","42.8","33.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-02","2.48","9.4","41.7","48.7","34.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-03","5.25","9.7","39.2","46.8","31.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-04","3.84","0.0","57.1","64.9","49.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-05","6.38","0.0","61.1","68.2","54.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-06","4.77","0.0","72.0","79.3","64.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-07","4.19","0.0","76.8","83.7","69.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-08","3.34","0.0","74.0","80.9","67.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-09","2.00","0.0","70.5","77.8","63.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-10","4.19","0.0","64.1","71.2","57.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-11","1.58","0.0","46.6","54.1","39.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2017-12","2.21","7.7","35.1","40.0","30.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-01","2.18","11.2","31.8","38.7","24.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-02","5.83","4.9","42.1","49.6","34.5"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-03","5.17","11.6","40.2","46.3","34.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-04","5.78","5.5","49.5","57.1","41.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05","3.53","0.0","66.9","75.5","58.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06","3.11","0.0","71.7","79.6","63.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-07","7.45","0.0","77.6","84.9","70.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-08","8.60","0.0","78.1","84.3","72.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-09","6.19","0.0","70.7","76.2","65.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-10","3.59","0.0","57.7","63.5","51.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-11","7.63","6.4","44.4","49.7","39.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-12","6.51","0.0","40.2","45.4","34.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-01","3.58","1.1","32.6","39.0","26.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-02","3.14","2.6","36.3","42.7","29.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-03","3.87","10.4","41.8","48.7","34.8"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-04","4.56","0.0","55.5","63.3","47.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-05","6.82","0.0","62.2","69.9","54.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-06","5.45","0.0","71.7","79.0","64.3"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-07","5.78","0.0","79.6","87.1","72.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-08","3.70","0.0","75.5","82.5","68.4"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-09","0.95","0.0","70.4","78.0","62.7"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-10","6.16","0.0","59.9","66.2","53.6"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-11","1.95","0.0","43.9","50.6","37.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2019-12","7.09","2.5","38.4","43.5","33.2"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-01","1.93","2.3","39.2","45.2","33.1"
